name,domain,basis_type,basis_detail,source_url,tenure_start,tenure_end,in_corpus_window,notes
Christopher Wray,Intelligence/Security/Election,office,FBI Director,,,,Y,SEPARATE from consensus_expert per Nash's 2026-07-15 decision -- intelligence/security authority is a different epistemic claim than scientific/institutional expertise. UNVERIFIED seed pool.
Avril Haines,Intelligence/Security/Election,office,Director of National Intelligence,,,,Y,SEPARATE from consensus_expert per Nash's 2026-07-15 decision -- intelligence/security authority is a different epistemic claim than scientific/institutional expertise. UNVERIFIED seed pool.
William J. Burns,Intelligence/Security/Election,office,CIA Director,,,,Y,SEPARATE from consensus_expert per Nash's 2026-07-15 decision -- intelligence/security authority is a different epistemic claim than scientific/institutional expertise. UNVERIFIED seed pool.
Richard Moore,Intelligence/Security/Election,office,MI6 Chief,,,,Y,SEPARATE from consensus_expert per Nash's 2026-07-15 decision -- intelligence/security authority is a different epistemic claim than scientific/institutional expertise. UNVERIFIED seed pool.
Ken McCallum,Intelligence/Security/Election,office,MI5 Director General,,,,Y,SEPARATE from consensus_expert per Nash's 2026-07-15 decision -- intelligence/security authority is a different epistemic claim than scientific/institutional expertise. UNVERIFIED seed pool.
Jen Easterly,Intelligence/Security/Election,office,CISA Director,,,,Y,SEPARATE from consensus_expert per Nash's 2026-07-15 decision -- intelligence/security authority is a different epistemic claim than scientific/institutional expertise. UNVERIFIED seed pool.
Chris Krebs,Intelligence/Security/Election,office,"CISA Director (former, fired for confirming 2020 election integrity)",,,,Y,SEPARATE from consensus_expert per Nash's 2026-07-15 decision -- intelligence/security authority is a different epistemic claim than scientific/institutional expertise. UNVERIFIED seed pool.
Gabriel Sterling,Intelligence/Security/Election,office,Georgia election official,,,,Y,SEPARATE from consensus_expert per Nash's 2026-07-15 decision -- intelligence/security authority is a different epistemic claim than scientific/institutional expertise. UNVERIFIED seed pool.
Brad Raffensperger,Intelligence/Security/Election,office,Georgia Secretary of State,,,,Y,SEPARATE from consensus_expert per Nash's 2026-07-15 decision -- intelligence/security authority is a different epistemic claim than scientific/institutional expertise. UNVERIFIED seed pool.
J. Alex Halderman,Intelligence/Security/Election,academic/citation_elite,Disinformation/election-security researcher -- OpenAlex verification needed,,,,Y,SEPARATE from consensus_expert per Nash's 2026-07-15 decision -- intelligence/security authority is a different epistemic claim than scientific/institutional expertise. UNVERIFIED seed pool.
Thomas Rid,Intelligence/Security/Election,academic/citation_elite,Disinformation/election-security researcher -- OpenAlex verification needed,,,,Y,SEPARATE from consensus_expert per Nash's 2026-07-15 decision -- intelligence/security authority is a different epistemic claim than scientific/institutional expertise. UNVERIFIED seed pool.
Joan Donovan,Intelligence/Security/Election,academic/citation_elite,Disinformation/election-security researcher -- OpenAlex verification needed,,,,Y,SEPARATE from consensus_expert per Nash's 2026-07-15 decision -- intelligence/security authority is a different epistemic claim than scientific/institutional expertise. UNVERIFIED seed pool.
Kate Starbird,Intelligence/Security/Election,academic/citation_elite,Disinformation/election-security researcher -- OpenAlex verification needed,,,,Y,SEPARATE from consensus_expert per Nash's 2026-07-15 decision -- intelligence/security authority is a different epistemic claim than scientific/institutional expertise. UNVERIFIED seed pool.
Renée DiResta,Intelligence/Security/Election,academic/citation_elite,Disinformation/election-security researcher -- OpenAlex verification needed,,,,Y,SEPARATE from consensus_expert per Nash's 2026-07-15 decision -- intelligence/security authority is a different epistemic claim than scientific/institutional expertise. UNVERIFIED seed pool.
Alex Stamos,Intelligence/Security/Election,academic/citation_elite,Disinformation/election-security researcher -- OpenAlex verification needed,,,,Y,SEPARATE from consensus_expert per Nash's 2026-07-15 decision -- intelligence/security authority is a different epistemic claim than scientific/institutional expertise. UNVERIFIED seed pool.
Hany Farid,Intelligence/Security/Election,academic/citation_elite,Disinformation/election-security researcher -- OpenAlex verification needed,,,,Y,SEPARATE from consensus_expert per Nash's 2026-07-15 decision -- intelligence/security authority is a different epistemic claim than scientific/institutional expertise. UNVERIFIED seed pool.
Clint Watts,Intelligence/Security/Election,academic/citation_elite,Disinformation/election-security researcher -- OpenAlex verification needed,,,,Y,SEPARATE from consensus_expert per Nash's 2026-07-15 decision -- intelligence/security authority is a different epistemic claim than scientific/institutional expertise. UNVERIFIED seed pool.
Graham Brookie,Intelligence/Security/Election,academic/citation_elite,Disinformation/election-security researcher -- OpenAlex verification needed,,,,Y,SEPARATE from consensus_expert per Nash's 2026-07-15 decision -- intelligence/security authority is a different epistemic claim than scientific/institutional expertise. UNVERIFIED seed pool.
Nina Jankowicz,Intelligence/Security/Election,academic/citation_elite,Disinformation/election-security researcher -- OpenAlex verification needed,,,,Y,SEPARATE from consensus_expert per Nash's 2026-07-15 decision -- intelligence/security authority is a different epistemic claim than scientific/institutional expertise. UNVERIFIED seed pool.
Eliot Higgins,Intelligence/Security/Election,none,"Bellingcat founder -- independent OSINT investigator, no institutional office/academic basis",,,,Y,"public_salience-only, not institutionally credentialed. Separate from consensus_expert."
